英文,中文
bathroom,浴室（bath 洗澡，room房间）
ancient,古代的，古老的，年老的
park,公园，停车场，停放
near,附近，靠近/接近，亲近的
expensive,贵的/昂贵的
refrigerator,电冰箱
skate,冰鞋/溜冰/滑冰
sure,肯定/一定/必然的，可靠/稳妥的
mistake,"错误, 过失; 误会，误认"
cry,哭，哭喊，叫喊，大声地说
first,第一/首次/最先/最早的
among,在…之中 / 在…之间
conjunction,联合，连词
carry,提/挑/背/搬运，输送/传送/携带，怀着/支撑
office,办公室/办事处/营业所，处/所/局，公职/职责，帮忙
broke, 一文不名的; 破了产的
importance,重要（性）
stress,压力，紧张，强调，着重
fever,发热，发烧，狂热
island,岛屿
energy,精力，能量，能源
provide,提供
ourself,我们自己
bowl,碗
carrot,萝卜
reach,伸展，延伸，范围，达到，达成，取得…联系
partner,配偶，搭档，伙伴
strict,严格，严厉，严谨，精确，完全的
ready,准备好的，现成的
fence,篱笆，栅栏，围住，隔开
entertainment,娱乐节目;娱乐，消遣;招待，款待
chalk,粉笔
desk,书桌，办公桌;服务台;部门
sport,体育运动;乐趣;夸示;故意显示;
print,照片;印刷字体;印痕
tell,讲述;告诉，说;辨别
attitude,态度;看法;姿势;个人风格
spell,拼写;导致，意味着;
king,国王;
juice,果汁;肉汁;胃液
notebook,笔记本;笔记本电脑;笔记簿;手册
before,"在…之前;先于,先前，从前，比…早些，在前方"
test,试验;测验;考验;化验
pass,通过;走过;批准;度过，通道;关口;越过
balance,平衡/均衡;天平;平衡力;使（各部分）协调
crowd,人群;群众;拥挤，聚集
robot,机器人;遥控装置
seat,席位，座位，场所，臀部，使就座;使就职
creative,创造性的，有创造力的
time,时间;次;时代;时刻
soccer,<美>足球;〈口〉英式足球
thirty,三十;三十个;
glad,高兴的，使人愉快，(风光)明媚的，(景色)美丽的;
crazy,疯狂的;不理智的;离奇的;生气的
monster,巨大的，庞大的，（建筑物）巍峨的，庞然大物，恶魔/恶人
interview,采访;面试;接见;会谈
compare,比较，对照，相比，匹敌
sea,海;海洋;许多;大量
use,使用;使用权;功能
spotlight,聚光灯;公众注意或突出显著;射光圈;探照灯
album,相册;唱片;集邮簿;签名册
inside,里面的，内部的，在…以内
fourteen,十四;十四个;第十四
whole,完整的，全部的，所有的
thick,浓的，茂密的;厚的，粗大的;稠密的
share,共用;共有;均摊，分配;分开;共同承担
online,在线的;联网的;联机的
garage,车库;汽车修理站;飞机库
big,大，重要的，(计划)庞大的，大方的，大量地，成功地，夸大地
somebody,某人，有人
mouth,口;出入口;传闻，喃喃地说，心不在焉地说
noon,晌午;正午，中午;全盛期，顶点
prison,监狱;监禁;入狱;牢笼
enter,进入;参加;开始;登记
chemistry,化学;物质的化学组成（或性质），化学作用（现象）
storm,暴风雨，暴风雪;[军]猛攻，冲击;骚乱;动荡
challenge,挑战;质疑;盘问;怀疑
specifically,特有地，明确地;按种别地;按特性地
interest,利息;兴趣，爱好;利害关系，利益
cola,可乐饮料
golden,金（黄）色的;金质的;美好的
put,放，表达/给予，猛推，将…送往;使与…连接
net,网;网状织物，用网捕;捕获，净的;净得的
show,表现出;给…看;显露出;上演
treasure,宝藏;珍宝，珍惜;重视
basket,篮;一篮;（篮球运动的）篮，把…装入篮内
high,高的;高尚的，崇高的，高气压;高压地带
deal,处理，交易，分配，经营，施予
why,为何
saying,话;说话;谚语，格言
apple,苹果;苹果公司;苹果树
sometimes,时而;有时，间或
dark,黑暗的;乌黑的;忧郁的;神秘的
sun,太阳，阳光;恒星;中心人物
firm,坚固的，坚牢的;公司;企业;
coat,上衣，外套，给…穿上上衣
suitable,合适的，适当的，适宜的，恰当的
mouse,鼠标;老鼠;窥探，偷偷地寻找
beauty,美人;美好;完美;突出的范例
excuse,原谅;为…申辩，歉意，辩解
choose,选择;进行挑选
bulb,电灯泡;球茎，块茎植物
secret,秘诀;奥秘;秘密，机密
job,职业，工作，承包，做零工
lead,领先的，领导;引导;指挥
once,一旦;曾经;一次
by,在…旁边;表示方式;由于;经过
evening,傍晚;黄昏;晚会;晚年，衰退期，末期
clap,拍手，鼓掌，噼拍声;破裂声
gift,天赋;赠送;赠品，礼物;天资
add,增加;补充;附带说明;把…包括在内
luck,运气;好运;机遇;命运
accident,事故;意外事件;机遇，偶然
talk,说话;讨论;讲，说
count,总数;数数;计算总数;把…算入
permission,允许;批准，正式认可，认可
rope,绳索;粗绳;一串
act,行动;表演;表现;起作用
honey,蜂蜜;<口>宝贝;可爱的人
kid,<口>小孩;小山羊，欺骗，戏弄，取笑
increase,增加，增大，增多，提高;增长
hometown,家乡，故乡
documentary,纪实的;记录的;文书的
shampoo,洗头;洗发香波;洗发剂/洗涤剂
prize,奖赏，奖金，奖品，值得追求的，第一流的，了不起的，珍惜/珍视
price,"价格, 价钱; 悬赏; 代价"
better,更合适的;能力更强的;好转的
sort,种类，分类，整理，某种人
teenager,十几岁的青少年
but,但是
follow,跟随，接着，遵照，听懂，领会
else,其他，另外
cotton,棉花/棉线，棉织物，喜欢/赞成
sister,姐妹，如姐妹般相待
record,唱片;记录，记载;档案
butter,黄油;黄油状的食品
hard,坚硬的，困难的/严重的，有力的，努力的
statement,声明，(思想、观点、文章主题等的)表现，陈述
off,离开;从…落下
break,突破，打破，间断
seal,密封;印章;海豹;封条
plastic,塑料，可塑的，给与形态的
artist,艺术家;画家;能手
glue,胶水;胶粘物;粘聚力
alright,好的;正确;令人满意
shoot,拍摄;射击;发芽，给…注射;射门，投篮
doctor,医生，大夫
convenient,方便，实用的
terrible,非常，很，可怕的，危害极大的
of,关于;属于…的;由…制成
glass,玻璃，镜子
careful,仔细的，小心的
more,更，更多，更加，附加的
under,在…下面，在表面之下，在…情况下
diary,日记，日志
shout,呼喊，叫喊
eighty,80
supply,供给，提供，补充，弥补
fashion,时尚，时装;时装领域
punish,处罚，严厉对付
bridge,桥，起联系作用的东西
somewhere,某地，在某处
product,产品，乘积/结果，作品
never,从不，不曾，决不
several,几个，一些，各自的
insect,昆虫，虫
banana,香蕉
volunteer,志愿者
district,地区，行政区，市区，把…分区
all,全部，一切的，各种的，极度的，尽量的
reveal,揭露，泄露，显露，揭示
marathon,马拉松
smile,微笑，笑容，赞许
rather,宁愿
ink,墨水，油墨
discovery,发现，发觉
camera,照相机
idea,主意，想法，观念
advantage,有利条件，益处，优势
hill,小山，斜坡
clothes,衣服，衣物
anything,任何东西，重要事物
purpose,目的，意图，意志，作用
boat,小船，划船，用船装运
association,协会，社团，联合
to,到，向，朝，关于，属于
lonely,孤独的，孤单的，寂寞的，荒凉的，幽静的
keep,保持，保留，遵守，阻止
when,当时，什么时候，在…时
author,作家，创始人，发起者
jew,犹太人
total,总计的，全部的，完全的，总体
globe,地球/世界/地球仪
mention,提起，说起
work,工作，操作，使产生效果
cabbage,卷心菜，洋白菜
tenth,第十，1/10
hallway,门厅;走廊，过道;玄关
yet,还，尚，仍然，已经，甚至，更，然而，但是
soap,肥皂
atlantic,大西洋的
dialogue,对话，对白（分歧者之间的）
ocean,"大海, 广阔, 海洋"
hear,听到，听见，听说
pain,痛苦，伤害，疼痛，烦恼
bill,账单，清单，钞票
positive,积极的，正面的，肯定的，完全/十足的
gray,灰，灰色的，阴沉的
fiction,小说
pear,梨
tower,塔，楼，高于，优于
dig,挖掘;探究，发掘，理解
two,2个;两个东西;两点钟;一对
death,死亡，死神
safe,安全，可靠的，保险柜，谨慎，稳健的
age,年龄，时代，老年，年龄段
straight,笔直的，直率的，不间断的，端正/正直的
onion,洋葱
afford,提供;买得起;担负得起;给予
ground,地面，场所，根据，原因
cap,盖，帽子
animal,动物，兽
card,卡片，信用卡
escalator,自动扶梯
heart,心，心脏;感情;要点，信心
surf,冲浪，浏览，浪拍岸花
breakfast,早餐
guide,导游，引路人，指南，引导
weekend,周末
practice,实践，练习，惯例，习俗
schoolbag,书包
kilo,千克，公斤
other,其他的，别的，另一个
matter,事情，物质，毛病
full,满的，装满的，完全的，完整的，充分的
pressure,压力，压强，压迫，迫使，说服
diet,日常饮食，特种饮食，节食
hurt,受伤，痛苦，损害/伤害
project,方案，项目，课题，设计
enemy,敌人，仇敌
supermarket,超市
nature,大自然，自然界，本性，性格
vocabulary,词汇量，词汇表
list,清单，表，名单，列举
comma,逗号
zoo,动物园
hide,隐藏，躲藏，遮掩，皮革，兽皮
quality,质量，品质，品德，优质的
grass,草，草坪，牧场
conversation,交谈，谈话
flower,花;精华;开花植物
continue,持续;逗留
furniture,家具
christmas,圣诞节
snow,雪
comedy,喜剧，喜剧性的事件
miss,小姐，未击中，思念，错过，避免
africa,非洲
object,物体，对象，实物，客体，目标，反对或不赞成
canada,加拿大
invite,邀请，征求，请求，吸引
mind,头脑，精神，理智，心思，意向，介意，留心
easily,容易的，不费力的
win,赢得，胜利
glove,手套
president,总统，主席，校长，董事，总经理
bell,钟，铃，钟声
medicine,药，医学，内科
though,即使，虽然，尽管，纵然
lift,提起，抬起，电梯，上升，举起
tale,故事，传说
message,消息，便条，口信，要旨
repair,修理，维修，补救
god,上帝
run,跑，奔跑，行驶，操作，跑步，行程，竞选，流，淌
the,这，那
ship,船，用船运，装运
invent,发明，创造，虚构/捏造
special,特殊，特别，专门的
population,人口，族群
condition,条件，状况，形式，状态
hum,嘈杂声，哼曲子，忙碌
sell,卖，出售，推销
usual,通常的，惯常的
jazz,爵士乐
wolf,狼，残忍贪婪之人
offer,给予，提供，报价，开价
display,显示，表现，展览
around,在周围，在附近，四周，大约，各处，遍及
water,水，雨水，水…（反正和水相关)
accept,接受，承认，相信
instead,替代，顶替，反而
rice,稻米，米饭
here,这里，在这一点上，嘿（引起注意）
rain,雨，下雨，雨季
pick,挑选，选择，采摘，选中的人或物
anybody,任何人，随便哪个人
teach,教，讲授，教导
far,远，久，很大程度上
hope,希望
province,省，领域，范围
our,我们的
sixteenth,第16，1/16
twenty,20
building,建筑物;房屋;楼房
important,重要的;权威的;有势力的
model,模特儿;典型，模范
mistake,犯错
they,错误，过失，误解，失策，口误，笔误
instrument,乐器，仪器，器械
coach,教练，指导，长途车，训练，辅导
elementary,基本的，基础的，初级的，小学的
call,传唤，召开，电话，拜访，召集，把…叫做
talented,有才能的，有才干的，天才的
mixture,混合物
duty,责任，义务，职责，税务
note,便条，记录，注意，留下，记下
unhappy,不快乐的，不幸的，悲惨的
doll,玩偶
stream,河流，趋势，倾向，连续，一连串，飘扬
below,在..下面，到..下面，低于
kill,杀死…，致命的，使停止，减弱
fold,褶皱，折叠，合拢
discuss,谈论，讨论，叙述
peace,和平，安静，和睦
toy,玩具
final,最终的;决定性的，结局
none,没有一个;没有人，根本不，无法
even,甚至; 即使，公平的，平坦的
insist,坚持的，强调，要求
party,社交聚会，政党，一方，当事人
opinion,意见，主张
guess,推测;猜测，臆测;猜中;假定
pool,水池，淤积
nineteen,19
money,钱;款项;财富
do,做;干;进行，引起，表现，（构成疑问句和否定句;代替动词）
watermelon,西瓜
have,用以构成完成式及完成式的不定式，表示已经…，有，具有;拿，取得，必须
protect,保护，保卫
build,建立;建造，构筑;开发;为…建立基础
grandchild,孙子;外孙;孙女
birth,出生;分娩;出身;起源
swim,游泳;游动
twentieth,1/20，第20
praise,表扬，赞扬
solid,固体的;实心的
husband,丈夫
farm,农家;农田;农场
well,好;很;好意地;高高兴兴地
thirsty,口渴的，渴望的
mess,凌乱，脏乱的状态，局面
culture,文化，文明，教养
mars,火星，战神
structure,结构，建筑物，建造，构造
meal,膳食，一餐
during,在…的时候;在…期间，当…之时
costume,戏服，（特定场合穿的）一套服装
unimportant,不重要的
try,尝试，试图，努力;实验
get,得到;抓住;说服;受到
write,写;写信;写作;作曲
hall,过道，走廊;大厅，前厅
major,较大的，主要的，主攻，专攻
legend,传说，传奇任务
guard,守卫，防卫，戒备，防范
fine,健康，舒适，极好的，优秀的
agent,代理人，代理商
gallery,画廊，美术馆，走廊
regard,认为;注视;涉及尊敬
spirit,精神，灵魂，情绪，心情
front,前面的，前线，正面
sound,声音，声响;合理的;完好的，宣布，彻底，充分的
wild,野生的，未驯化的，荒凉的
confident,确信的，有信心的，肯定的
snake,蛇，蜿蜒
till,直到（为止)
consider,考虑，细想，认为，照顾
foreign,外来的，涉外的，外国产的，对外的
homeland,祖国，家乡，故乡
myself,我自己，亲自
passenger,乘客
clean,清洁的;整齐的;新的;正派的，完全的
situation,形式，局势，处境，位置，职务
look,看，瞧，寻找，注意，面向，面向
baseball,棒球
pleasant,舒适的，令人愉快，令人喜欢的
over,越过，在上面，由于，结束，额外，剩余
skin,外皮，外壳，兽皮，毛皮
bacome,成为，变成，开始变得..
surface,表面，外表，显露
mountain,山脉，山
black,黑色的，黑暗的，暗淡的，毫无希望的
hour,小时，钟头;时间，时刻;固定时间;课时
found,创立，创办，创建
often,经常，常常
trust,信任，信赖，托付，希望
past,以前的，过去的，结束了的，往事
beyond,在(向着)…的那边，远于，迟于，超出，非…所及，在更远处
kangaroo,袋鼠
food,食物，食品
cover,占，覆盖，范围为…，掩护，盖子/套子
square,求平方的，直角的，正方形，使一致，使平直
girl,女孩;姑娘，未婚女子;女职员，女演员，女朋友
worst,最坏的，最差的
someone,某人，有人
opportunity,机会
force,强迫，军力，暴力/武力，效力
weather,天气
police,警方，警察，治安
kind,种类，亲切，和蔼，仁慈的
feed,为..提供食物，喂，以…为食
railway,地铁
headache,头疼
almost,几乎，差不多
towel,毛巾
search,搜索，搜查，探究，调查
chopsticks,筷子
picnic,野餐
nearby,附近
hers,她的
with,和…一起，跟，同，具有，带有
shut,关闭，关上，打样
marry,娶，嫁，和…结婚
native,当地的，本国人，出生地的，土生土长的人
original,最初的，原始的，有创意的，原件
purse,钱包，女用小包
are,存在（be动词复数形式)
discussion,讨论，谈论
bow,弓，鞠躬，弓形物，蝴蝶结
ninety,90
sing,演唱，唱歌，鸡鸣
mix,混合
postman,邮递员
smell,气味，臭味，散发…的气味，问道，察觉
live,居住，生活，留存，难忘，充满活力的，直播的
paris,巴黎
sauce,沙斯，酱汁，佐料
deaf,聋的，装聋的，不愿听的
thought,想法，见解，思考，思维，思潮，思想
sir,先生，爵士
fetch,拿来，请来，叫来
those,那些
dry,干燥的，干旱的，口渴的，使脱水
save,救助，拯救，储存，除…之外
calculator,计算器
baby,婴儿
october,十月
zebra,斑马
that,那个，那样，那么
forty,40
surprise,惊喜，突然袭击，诧异，令人惊奇的事物
mother,妈妈
soft,柔软的，光滑的，轻柔的，娇嫩的
criticize,批评，评论，非难
court,名词：法庭，朝廷，球场        动词：追求，求爱，导致，招致
together,一起，共同，一致的，协调的
long,长的，长期的，渴望，热望
strange,陌生的，奇异的，生疏的
decide,决定，对…做出抉择，下决心
row,排，行，划船，荡桨，争吵，斥责
as,同样，一样的，当作，作为，像…，如同，尽管，虽然
large,大的，数量多的
wrong,错误的，不道德的，不合法的，坏事，冤屈
film,电影，胶片，薄膜，拍摄电影
yours,你的，你们的
safety,安全，保险，安全设备，保险装置
lot,许多，大量，抽签，一块场地
exhibition,展览，展览会
awful,极坏的，急糟的，可怕的，令人不快的
mean,含义，打算，意味着     adj: 卑鄙的，卑贱的，吝啬的
sign,标志，符号，迹象，签署
minute,分钟
require,需要，需求，命令，规定
unless,除非，如果不
allow,允许，同意，承认
discover,发现，发觉
australia,澳大利亚
stage,舞台，后台，高台，平台，楼层
player,选手，队员，演员，播放器
student,学生，学者，研究生
popularity,普及，流行
pay,支付，缴纳，工资，薪金
toast,烤面包，吐司，祝酒，祝酒词，烘烤，干杯
beach,海滩，沙滩
retire,退休，退役，退下，撤出，就寝
believe,相信，认为
stick,棍棒，手杖，黏，刺，插，钉住，留下
chore,家务，令人厌烦的工作
realistic,现实的，现实主义的，逼真的
hair,头发，毛发
each,各个，每个
fork,叉，餐叉，分叉，岔口
wheat,小麦，淡黄色，朴实的人
shame,害羞，羞愧，可耻的人或事物，遗憾的，可惜的，使蒙羞
lookout,警戒，监视，瞭望台，任务
prevent,阻止，妨碍
singular,单数的，单一的
land,陆地，地面，国土，降落，登陆
seek,寻找，征求，请求，试图，设法
introduce,介绍，引进，传入，采用
lock,锁上，卡住，船闸
return,返回，回复，回应，往返，收益，往返的
fan,粉丝，扇子，扇形物，煽动，极其
popular,流行的，通俗的，大众的
aunt,姑姑，姑妈，伯母，婶婶，舅妈
tiny,极小的，微小的
rest,剩余的，休息，停止，依赖，依靠，停留
half,一半的，半个的
gym,健身房，体育馆
misleading,令人误解的，引入歧途的，欺骗的
barbecue,烧烤野餐，金属烤架
complete,十足的，彻底的，完成的
hole,洞，孔眼，漏洞
earch,地球，地面，陆地，土
sorry,对不起，抱歉的，遗憾的，惋惜的，可怜的
be,是，就是，在，存在
aggressive,侵犯的，侵略的，挑衅的
flag,旗，旗帜，标记
later,"较晚的, 更晚的，后面的， 末期的"
wonderful,奇妙的，极好的，惊人的
therefore,因此，所以
eye,眼睛
moon,月亮
forbid,阻止，禁止，妨碍
seldom,很少，不常
donate,捐献，捐赠
unless,如果不，除非
outgoing,外出的，离开的，外向的，开销
pie,馅饼类的东西…
stomach,胃口，腹部，承受，忍受
burn,燃烧，点燃，烧毁，灼伤
delicious,美味的，芬芳的，宜人的
perform,做，履行，表演，演出，完成
bored,无聊，无趣，厌烦的
along,向前的，一道，一起，沿着
might,可能，会，力量，能力，势力，权势
trade,贸易，商业，行业，职业
elbow,肘部，用肘挤
august,八月
sighteenth,第18
least,最少的，最小的，最不重要的
cheat,欺骗，骗取，作弊
february,二月
train,列车，火车，一连串，一系列，训练，培养
useful,有用的
japan,日本
april,四月
taxi,出租车
uniform,制服，相同的，一致的
describe,描述，描写，说明
sad,悲哀的，伤心的，十分糟糕的
careless,粗心的，草率，随便的，不关心的
human,有人性的，有人情味的，人
competition,竞争，比赛
promise,允诺，答应，有希望，承诺，诺言，可能性
however,然而，依然，无论如何
stand,站立，位于，坚持，继续存在
low,矮的，低的，低下的，缺乏的，卑微的
visit,参观，访问
car,汽车，车厢
operate,动手术，起作用
operation,操作; 经营; 运转; 营运; 手术
eleventh,11
jacket,夹克衫
cheese,奶酪，干酪
terrorist,恐怖主义者
satisfy,满足，满意，确信，信服
bookcase,书柜，书架
free,自由的，无约束的，免费的，空闲的
loving,充满爱的，钟爱的
housework,家务劳动
elevator,电梯，升降机
born,出生的，产生的，天生的
air,天空，空气，样子，神态
how,怎么，怎样，多么，多少
read,阅读，朗读，宣读，读懂，解释，理解
left,左，左侧的，左派，左翼
fax,传真，电报
say,说，讲明，表明，宣称
book,书籍，本子，账目，（动）预定，预约
raise,举起，增加，筹集，引起，激起，养育，提高
fifteen,十五
kick,踢
between,在…之间
mysterious,神秘的，难以理解的
cookie,饼干
magic,魔法，魔力，有魅力的
lay,放置，放下，铺，设置，不止，使处于(某种状态)
friend,朋友，友人
case,事例，实例，事实，案件，箱子，盒子
twelfth,第12，1/12
heavy,重的，重型的，大量的，密集的，严重，剧烈的，犹豫的，充满的
combine,联合，结合，联合收割机
easy,容易的，不费力的，舒适的，安逸的，随和的，友善的
dictionary,字典，词典
meeting,会议，集会，会和，相会，运动会
waiter,(男)侍者，(男)服务员
your,你的，你们的
survey,调查，勘察，测量，审视，概括论述
appear,出现，显露，来到，看起来像，似乎，产生，问世，发表
possible,可能的，做得到的，可接受的，合理的
salad,沙拉，凉拌菜
another,再一个，另一个，又一个，另一的，别的
wash,洗，洗去，冲掉，洗涤
passport,护照
aid,帮助，救助，助手，辅助手段
science,科学，学科
chase,追捕，追求，寻求
sink,下沉，沉没，降低，下落，水池
gun,枪，炮
research,研究，调查
farmer,农场主，农民
disadvantage,缺点，不利条件
prepare,准备，预备
hero,英雄，勇士，男主角
assistant,助手，助教，助理的，辅助的
nineteenth,第19，1/19
passage,段落，章节，流逝，通道
zigzag,之字形，蜿蜒曲折，弯弯曲曲行进
and,和，与，及，那么，则，然后，接着，而且，还
treatment,治疗，疗法，对待，待遇
corner,角落，街角，困境，走投无路
cat,猫
nor,也不，也没有
recycle,回收
trip,旅行，旅游
which,哪一个，哪一些，那个，那些
background,出身背景，经历，背景，底子
night,夜晚，夜
physics,物理，物理学
airplane,飞机
lab,实验室
screen,屏幕，银幕，遮蔽，屏风，包庇
dirty,肮脏下流的，黄色的，卑鄙不道德的，暴风雨的，弄脏
eighteen,十八
level,水平面，水平线，高度，水平，等级，平稳的
india,印度
welcome,欢迎，受欢迎的
hungry,饥饿的，渴望的
social,社会的，交际的，社交的
super,极好，上等，超级，过分
cupboard,烟尘，抽烟，冒烟，冒气
telephone,电话，打电话
smoke,烟尘，抽烟，冒烟，冒气
wonder,对…感到疑惑，好奇，惊奇，奇异，奇迹
eletric,电的，电动的
what,什么，多么，何等…的事物
tie,拴，捆，扎，把…打结，系上，连接，使有关联
both,两个..(都) ，两者，双方
lazy,懒惰的，懒散的，慢吞吞的
rocket,火箭，迅速上升，猛涨
ocean,海洋，许多，大量
real,真的，真正的，真实的
helicopter,直升机
appointment,约会，约定，任命，委派，职务，职位
speak,说话，讲话，演说，发言，表达意见，讲
begin,开始
Tuesday,星期二
announce,宣布，声称，预告
england,英格兰，英国
whether,不论，不管
tennis,网球
ice,冰
plan,计划，打算，规划，平面图，示意图
brazilian,巴西人，巴西的
height,高度，高处，高地，顶点
clear,清楚的，明白的，无疑的，确信的，晴朗的，清澈的
symphony,交响乐，交响曲，（色彩等的）和谐，协调
century,世纪
spare,空闲的，多余的，备用的，留出，饶恕，不伤，免去，吝啬
difficult,困难的
festival,节日，喜庆日
chest,胸腔，柜子，橱
gentle,温柔，慈祥，文雅的，有礼貌的
home,家乡，家庭，原产地，家用的，国内的
injure,伤害，损害，损伤
behave,表现，表现得体，有礼貌，运转，起作用
spoken,口头的，口语的
medical,医学的，医疗的
hamburger,汉堡包
anyone,随便哪一个人，任何人
after,在…以后，在..后面
enough,足够的，充分的，相当，达到一定的程度
common,共同的，平常的，普通的，共有的
he,他，(不论性别的)一个人
his,他的
establish,建立，设立，确定，证实
shock,震动，冲动，震惊，触电，使震惊，使休克
disease,疾病，病患，不健全，弊端
need,需要，必须，必要，缺乏，迫切要求
last,刚过去的，紧接的，最后的，最后剩下的，最终，最近一次，持续（v)
rank,军衔，等级，排列，将…分等级
drink,饮料，酒
seventy,70，70个
number,数目，编号，给…编号，号码
progress,前进，进步，进展，行进
town,镇，市镇，市区，市中心
stair,楼梯，梯级
light,光亮，光源，灯，明亮的，淡色的，愉快的，点燃，照亮
yard,庭院
serious,严重的，危急的，重要的，重大的，认真的，严肃庄重的
certain,某一，某种，肯定的，确信的，确实的，无疑 的
illness,疾病
word,词，单词，词语，言语，话，消息，诺言
control,控制，支配，管理，调节，自制，克制，管理
will,将，会，要，愿意，意志，决心，遗属
madam,女士，夫人
chairman,主席，会议主持人，董事长
readlly,真正的，实际上，很，十分，全然
dozen,一打，十二个
report,报告，汇报，告发，报道，隶属，传闻
dad,爸爸
loud,响亮的，大声的，太招摇的，色彩刺目的
basketball,篮球
jeans,牛仔裤
gate,大门
ant,蚂蚁
courage,勇气，胆量
there,在那里，在那方面，在那点上
warm,温暖的，暖和的，热情的，热心的，暖的
musiciam,音乐家，乐师
pack,困扎，打包，包，包裹
orange,橙，柑，橘，橙色的
mad,疯的，神经错乱的，恼火的，狂怒的，着迷的
pet,宠物，宠儿，宠爱的，表示亲昵的
twin,成双的，双胞胎，孪生儿之一，双胞胎之一
underwater,水下的，水下行动的，在水中
middle,中部的，中间的
prediction,预言，预料，预报
awake,醒着的，意识到，醒悟
feature,特征，特色，相貌，特写，故事片，以…为特色
street,街道， 马路
penny,便士，分
pocket,衣袋，口袋，容器
am,是
dormitory,宿舍
tall,高的，身材高的，难以置信的，难以办成的
team,组，队，合作，结成一排
whatever,无论什么，不管什么，任何…的事物
country,国家，国土，国民，全国人民，乡村
belt,地带，地区，腰带， 皮带
seem,好像，似乎
recite,背诵，朗诵，列举，逐一讲述
pull,拉，拖，拔，移动，牵引
anxious,焦虑的，发愁的，渴望的，急切的
secretary,秘书，书记，部长，大臣
southern,南方的，南部的
afternoon,下午，午后
role,作用，职责，角色，任务
express,表示，表达，明确的，直达，快递，速递
peel,削…的皮，剥…的壳
sweep,打扫，扫过，略过，快速移动
busy,忙的，专心的，繁忙的，热闹的
steal,偷盗，行窃，悄悄地移动
regret,懊悔，遗憾，抱歉
tidy,(使)整洁的，(使)整齐的
writer,作者，作家
understand,理解，懂，了解，意识到，认为，以为
shiny,光亮的，有光泽的，反光的
photograph,照片，相片，拍照
wake,醒来，唤醒，激起，振奋，警觉，守夜，痕迹
envelope,信封
ball,球，球状物
pollution,污染
battery,电池，蓄电池，一系列，一套，排炮
sight,视力，视觉，看见，瞥见，眼界，风景
menu,菜单
adult,成年人，成年动物，成熟的，成人的
fair,公平的，公正的，尚可的，浅色的，白皙的，公正的
rural,乡村的，农村的
