英文,中文
emotion,情绪，情感/感情，感动/激动
guy,家伙，伙计
succeed,成功，继承，继任，随…之后
flee,逃走，逃掉，消失
avoid,避开，避免，预防，撤销，废止
ninth,第9，1/9
remain,剩余物，残骸/遗体，残余/遗迹 保持，依然，留下/逗留，终属/归于
arm,臂，武器，[复数]战事，权力，准备（斗争）
silk,丝/丝制的/蚕丝，丝绸/丝织物，丝制的
band,聚集，联合(起来)，用带绑扎，划档次，把…联合
specific,具体 / 明确 / 特种的;[免疫学]特效的药，显著的性质
champion,冠军 / 捍卫 /战士，优胜的 / 一流的
especially,尤其地，主要地，格外地，显著地，异常地
immediately,立即，马上，直接地，紧接地，一…就，即刻
material,素材/材料/原料，织物，适当人选，肉体的，决定性的，辩证/推论的
phrase,成语，乐句，说法，<语>短语，叙述，措词
cross,十字架，十字饰物，杂交品种，痛苦，交错，横渡/越境，使相交
president,总统，总裁，校长，董事长
suit,一套外衣/西装，恳求（注：尤指服装、颜色等相配/合身）
wet,湿的/下雨的/懦弱的，湿地，液体，窝囊废，雨天
calm,镇定的，(海洋，天气等)安静/平静的，从容不迫的
cream,乳霜，精英，奶油色，乳脂，奶油
scene,场面，现场，景色，风景，事件
thrill,使激动/陶醉，使颤动/战栗，  [病]震颤，兴奋感
jungle,热带丛林，丛林音乐，乱七八糟的一堆事物，尔虞我诈的环境
dismiss,把…免职，遣散/解散（队伍等）;驳回，拒绝受理，搁置
cock,公鸡，龙头，成熟雄鸟，首领，领导，翘起，大摇大摆
chick,小鸡，少妇，小鸟
plate,盘子/盆子，金属板，[摄]底片，感光版
plain,平原 / 朴实无华 / 清晰的 / 明白地
unpleasant,讨厌的，使人不愉快的，不合意的
natural,自然的，天生的，物质的，不做作的
knife,匕首，手术刀，伤害，劈开，划过
rush,匆促，急流， 冲进，匆忙，冲/闯
teen,青少年(等于teenager)，伤害，痛苦，悲伤;愤怒
idol,偶像，崇拜物，幽灵，谬论，幻觉
post,岗位，邮政/邮件，柱， 张贴，宣布，设岗
smooth,光滑的，流畅的，柔软的，温和/安详/优雅
army,军队;陆军/野战军
armed,已武装的 / 有防卫器官的 （“arm”的过去式和过去分词）
retain,保持 /留在心中 /记住 /雇用 /付定金保留
brief,简洁的，简明的
association,"协会, 公会, 社团; 结合, 联合; 联盟; 交往"
January,一月
February,二月
March,三月
April,四月
May,五月
June,六月
July,七月
August,八月
October,十月
November,十一月
December,十二月
Aggregation,聚集;集结;集成;聚集体
redistribution,重新分配; 再分配
staff,在…工作，任职于 /参谋的
dull,呆滞/迟钝的，阴暗的 /单调
degree,程度/学位 ;[数]度，度数
pretend,假装，佯装
shoulder,负担，承担
rat,鼠rat  老鼠mouse
particular,特别的;详细的;独有的，细情
organize,组织;安排;规划;建立组织
store,店铺，仓库，储藏，储备
stamp,邮票，标志，脚踏，盖印章，重步走
edge,边缘，刀口，优越
medal,奖牌，奖章
relation,关系，关联，亲戚，亲属
creature,人or动物，创造物 ，(他人的)工具
southeast,东南地区;东南，东南方，（美国）东南部
joy,喜悦，快乐，高兴，高兴的事或人，成功，好运
wealth,财产，财富，富豪阶级，丰富，繁荣
general,普遍的;大致的;综合的;总的，全体的
thirteen,十三;十三岁;十三个
parrot,鹦鹉，应声虫
throat,嗓子，喉咙
drum,鼓/鼓状物，有节奏的敲击
aloud,大声;高声
pierce,刺破;刺穿，戳穿;洞察;深深打动
sick,恶心的;晕船;不舒服的;腻烦的
offend,冒犯 / 伤害，违反，不舒服
silver,银，镀银，银器，银币
argue,辩论; 主张; 议论; 说服; 争论
market,市场，股市，销售，出售
kitchen,厨房，餐具
state,国家/州  情况 /资格/状况
mystery,秘密，谜;神秘，神秘的事物
nurse,护士，看护，保姆
candy,糖果;冰糖;
beard,胡须
laboratory,实验室;实验课;研究室
culture,"?文化, 耕种, 修养"
balloon,气球;热气球;
award,给予，授予，奖品，报酬
unfamiliar,陌生的;不熟悉的;不常见的
knock,短促的敲打（声）;爆震声;敲击声
score,得分;分数;总谱; 评分;得分;
examine,检查，调查;考试;诊察;审问
pond,池塘
except,把…除外;不计
ham,火腿;（旧时的）小镇，村庄;大腿后部
forest,森林;丛林;（森林似的）一丛;一片
embarrassed,尴尬的;为难的;窘迫的
etiquette,礼仪，礼节;规矩;礼数
authority,管理，管辖，权威，专家，官方
accessory,附件/零件，配件，装饰品
character,性格，特性，任务，角色，（汉）字
expect,期望;预料;要求;认为（某事）会发生
keen,热心，热烈，敏锐的
semester,（尤指美国的大专院校的）学期;半学年
boil,煮沸，沸腾;疔，疖子;[医]疡肿，脓肿
beat,敲击，敲打，打败，胜过，节奏，节拍
pot,罐;一罐;（某种用途的）容器;陶盆
excellent,优秀的;卓越的;杰出的
heat,热，热度，高温;热烈，激烈
chip,碎片，芯片，缺口，作赌的筹码，削/铲/凿
resolution,正式决定，决心，解决，清晰
porridge,粥，麦片粥
flat,平的，平坦，统一，单调，断然的
cousin,堂兄弟，表姐妹
attendant,服务人员，侍者;随从，随员;伴随物
sock,重击，痛打，短袜
traditional,传统的，口传的，惯例的
bread,面包/谋生之道
sale,出售
cinema,电影院，电影艺术
violin,小提琴;小提琴手
risk,危险，风险，冒险
piece,片，块，段，碎块
shall,将要，将会，应该，必须
ticket,票，入场券，候选名单
present,现在，目前，出席，到场，提出，赠送
club,俱乐部，社团
rose,玫瑰
eleven,11
camp,营地，露营，扎营
similar,相似，类似的
cruel,残酷的，残忍的，使人痛苦的
modest,谦虚，谨慎，适度的
excite,刺激，使兴奋
international ?,国际的，全世界的，国际性的
wide,宽阔，广泛的，偏离的/全部，充分的
period,（一段）时间，时期，时代，句号，句点
pride,自豪，得意，傲慢的
center/centre,中心，圆心，正中，集中于
rock,岩石，石块，摇动
pork,猪肉
fourth,第四，四分之一
casually,偶然 / 随便 / 临时的
pour,灌 / 倒 / 倾泻 / 流出
frustrate,使沮丧，灰心 / 失败
goat,山羊
attempt,尝试，试图，努力
flu,流行性感冒
against,反对，违反，对…不利… / 和…比 /和…对照
scary,恐怖的，吓人的
escape,逃脱，逃走，避免，躲避
tragedy,惨事，灾难，悲剧
clever,聪明，机灵，灵巧的
disturb,弄乱，打乱，打扰
sausage,香肠
gold,金，金的，金黄色的
honest,诚实的，正直的
con,反对票，反对论，反面的
educate,教育，培养，训练
lamb,羊羔，羔羊
prove,证明，证实，结果是，原来是
frog,蛙
talent,天资，才能（人才）
brown,棕色的，褐色的
south,南，南方的，南部的
drug,药物 / 麻醉药 /毒品
rent,租，租用，出租，租借
route,路线，路程
disappointing,令人失望 / 扫兴的
planet,行星
frustrate,使沮丧 / 灰心 / 失败
turtle,海龟
humorous,幽默，诙谐的
prefer,宁愿，更喜欢
trash,垃圾，废物，残渣，拙劣的人，捣毁/破坏
relative,亲戚 ，亲属，相对的，相关的
shower,阵雨，沐浴，洒落
plant,植物，种植，工厂，栽种，安放，安置
freeze,凝结，凝固，冻结
meter,米，公尺
fill,填满，充满，吃饱的量
place,地方，场所，寓所，等级，放置，安置，安排
concentrate,全神贯注，全力以赴，聚集
gum,牙龈，口香糖，树胶
department,部，局，处，科，系
fridge,电冰箱
chat,闲谈，聊天
rubbish,垃圾，废物，废话
plane,飞机，平面，水平面
Wednesday,星期三
truck,卡车
joke,笑话，玩笑
manner,方式，方法，态度，风度
popcorn,爆米花，保护物品的小片
impress,印象深刻，铭记（impress sb with sth)
college,大学，学院
chop,排骨，砍伐，劈
upon,在…之上
habitat,（动植物的）栖息地
fool,蠢人，笨蛋，欺骗，愚弄，愚蠢的
alien,外国（人)的，外星的，陌生的，格格不入的
instruction,命令，指示，教学，指导
dress,给…穿衣，服装，连衣裙
separate,分离的，分开的，不同的，划分，区分
mine,我的（所有物），矿/矿山，地雷，开矿
charity,慈善，施舍，慈善机构
purple,紫色（的）
suitcase,手提箱，衣箱
celebrate,庆祝，欢庆，赞扬，歌颂
proper,正确的，适当的，正当，固有的
wheel,轮，车轮，转动，旋转
sour,馊，酸臭的，尖酸刻薄的
poem,诗
sentence,句子，判决，宣判
percent,百分比，百分之X
glad,高兴的，使人愉快，(风光)明媚的，(景色)美丽的;
thick,浓的，茂密的;厚的，粗大的;稠密的
garage,车库;汽车修理站;飞机库
clap,拍手，鼓掌，噼拍声;破裂声
accident,事故;意外事件;机遇，偶然
shampoo,洗头;洗发香波;洗发剂/洗涤剂
statement,声明，(思想、观点、文章主题等的)表现，陈述
seal,密封;印章;海豹;封条
plastic,塑料，可塑的，给与形态的
shoot,拍摄;射击;发芽，给…注射;射门，投篮
convenient,方便，实用的
terrible,非常，很，可怕的，危害极大的
diary,日记，日志
supply,供给，提供，补充，弥补
punish,处罚，严厉对付
several,几个，一些，各自的
insect,昆虫，虫
volunteer,志愿者
district,地区，行政区，市区，把…分区
reveal,揭露，泄露，显露，揭示
rather,宁愿
boat,小船，划船，用船装运
association,协会，社团，联合
author,作家，创始人，发起者
globe,地球/世界/地球仪
mention,提起，说起
hallway,门厅;走廊，过道;玄关
yet,还，尚，仍然，已经，甚至，更，然而，但是
atlantic,大西洋的
ocean,"大海, 广阔, 海洋"
pain,痛苦，伤害，疼痛，烦恼
positive,积极的，正面的，肯定的，完全/十足的
gray,灰，灰色的，阴沉的
fiction,小说
tower,塔，楼，高于，优于
safe,安全，可靠的，保险柜，谨慎，稳健的
straight,笔直的，直率的，不间断的，端正/正直的
ground,地面，场所，根据，原因
practice,实践，练习，惯例，习俗
pressure,压力，压强，压迫，迫使，说服
diet,日常饮食，特种饮食，节食
hurt,受伤，痛苦，损害/伤害
enemy,敌人，仇敌
vocabulary,词汇量，词汇表
quality,质量，品质，品德，优质的
comedy,喜剧，喜剧性的事件
africa,非洲
invite,邀请，征求，请求，吸引
mind,头脑，精神，理智，心思，意向，介意，留心
easily,容易的，不费力的
glove,手套
bell,钟，铃，钟声
medicine,药，医学，内科
lift,提起，抬起，电梯，上升，举起
tale,故事，传说
repair,修理，维修，补救
ship,船，用船运，装运
invent,发明，创造，虚构/捏造
hum,嘈杂声，哼曲子，忙碌
sell,卖，出售，推销
wolf,狼，残忍贪婪之人
instead,替代，顶替，反而
pick,挑选，选择，采摘，选中的人或物
province,省，领域，范围
instrument,乐器，仪器，器械
coach,教练，指导，长途车，训练，辅导
elementary,基本的，基础的，初级的，小学的
fold,褶皱，折叠，合拢
insist,坚持的，强调，要求
opinion,意见，主张
grandchild,孙子;外孙;孙女
twentieth,1/20，第20
praise,表扬，赞扬
solid,固体的;实心的
farm,农家;农田;农场
thirsty,口渴的，渴望的
structure,结构，建筑物，建造，构造
meal,膳食，一餐
costume,戏服，（特定场合穿的）一套服装
hall,过道，走廊;大厅，前厅
legend,传说，传奇任务
guard,守卫，防卫，戒备，防范
gallery,画廊，美术馆，走廊
regard,认为;注视;涉及尊敬
foreign,外来的，涉外的，外国产的，对外的
situation,形式，局势，处境，位置，职务
pleasant,舒适的，令人愉快，令人喜欢的
surface,表面，外表，显露
found,创立，创办，创建
beyond,在(向着)…的那边，远于，迟于，超出，非…所及，在更远处
worst,最坏的，最差的
opportunity,机会
force,强迫，军力，暴力/武力，效力
chopsticks,筷子
picnic,野餐
purse,钱包，女用小包
discussion,讨论，谈论
bow,弓，鞠躬，弓形物，蝴蝶结
ninety,90
paris,巴黎
sauce,沙斯，酱汁，佐料
thought,想法，见解，思考，思维，思潮，思想
fetch,拿来，请来，叫来
criticize,批评，评论，非难
court,名词：法庭，朝廷，球场        动词：追求，求爱，导致，招致
strange,陌生的，奇异的，生疏的
safety,安全，保险，安全设备，保险装置
exhibition,展览，展览会
awful,极坏的，急糟的，可怕的，令人不快的
australia,澳大利亚
stage,舞台，后台，高台，平台，楼层
popularity,普及，流行
toast,烤面包，吐司，祝酒，祝酒词，烘烤，干杯
retire,退休，退役，退下，撤出，就寝
stick,棍棒，手杖，黏，刺，插，钉住，留下
chore,家务，令人厌烦的工作
realistic,现实的，现实主义的，逼真的
fork,叉，餐叉，分叉，岔口
shame,害羞，羞愧，可耻的人或事物，遗憾的，可惜的，使蒙羞
lookout,警戒，监视，瞭望台，任务
prevent,阻止，妨碍
singular,单数的，单一的
seek,寻找，征求，请求，试图，设法
introduce,介绍，引进，传入，采用
aunt,姑姑，姑妈，伯母，婶婶，舅妈
tiny,极小的，微小的
rest,剩余的，休息，停止，依赖，依靠，停留
gym,健身房，体育馆
misleading,令人误解的，引入歧途的，欺骗的
barbecue,烧烤野餐，金属烤架
aggressive,侵犯的，侵略的，挑衅的
therefore,因此，所以
forbid,阻止，禁止，妨碍
seldom,很少，不常
donate,捐献，捐赠
burn,燃烧，点燃，烧毁，灼伤
bored,无聊，无趣，厌烦的
might,可能，会，力量，能力，势力，权势
elbow,肘部，用肘挤
least,最少的，最小的，最不重要的
cheat,欺骗，骗取，作弊
february,二月
train,列车，火车，一连串，一系列，训练，培养
uniform,制服，相同的，一致的
competition,竞争，比赛
promise,允诺，答应，有希望，承诺，诺言，可能性
stand,站立，位于，坚持，继续存在
operate,动手术，起作用
cheese,奶酪，干酪
terrorist,恐怖主义者
satisfy,满足，满意，确信，信服
elevator,电梯，升降机
raise,举起，增加，筹集，引起，激起，养育，提高
mysterious,神秘的，难以理解的
heavy,重的，重型的，大量的，密集的，严重，剧烈的，犹豫的，充满的
combine,联合，结合，联合收割机
survey,调查，勘察，测量，审视，概括论述
salad,沙拉，凉拌菜
aid,帮助，救助，助手，辅助手段
science,科学，学科
chase,追捕，追求，寻求
sink,下沉，沉没，降低，下落，水池
research,研究，调查
assistant,助手，助教，助理的，辅助的
passage,段落，章节，流逝，通道
zigzag,之字形，蜿蜒曲折，弯弯曲曲行进
treatment,治疗，疗法，对待，待遇
corner,角落，街角，困境，走投无路
dirty,肮脏下流的，黄色的，卑鄙不道德的，暴风雨的，弄脏
social,社会的，交际的，社交的
cupboard,烟尘，抽烟，冒烟，冒气
wonder,对…感到疑惑，好奇，惊奇，奇异，奇迹
eletric,电的，电动的
tie,拴，捆，扎，把…打结，系上，连接，使有关联
ocean,海洋，许多，大量
helicopter,直升机
appointment,约会，约定，任命，委派，职务，职位
Tuesday,星期二
announce,宣布，声称，预告
whether,不论，不管
symphony,交响乐，交响曲，（色彩等的）和谐，协调
century,世纪
chest,胸腔，柜子，橱
injure,伤害，损害，损伤
behave,表现，表现得体，有礼貌，运转，起作用
spoken,口头的，口语的
medical,医学的，医疗的
shock,震动，冲动，震惊，触电，使震惊，使休克
disease,疾病，病患，不健全，弊端
town,镇，市镇，市区，市中心
serious,严重的，危急的，重要的，重大的，认真的，严肃庄重的
certain,某一，某种，肯定的，确信的，确实的，无疑 的
dozen,一打，十二个
courage,勇气，胆量
mad,疯的，神经错乱的，恼火的，狂怒的，着迷的
pet,宠物，宠儿，宠爱的，表示亲昵的
twin,成双的，双胞胎，孪生儿之一，双胞胎之一
prediction,预言，预料，预报
feature,特征，特色，相貌，特写，故事片，以…为特色
penny,便士，分
pocket,衣袋，口袋，容器
dormitory,宿舍
tall,高的，身材高的，难以置信的，难以办成的
belt,地带，地区，腰带， 皮带
recite,背诵，朗诵，列举，逐一讲述
anxious,焦虑的，发愁的，渴望的，急切的
secretary,秘书，书记，部长，大臣
southern,南方的，南部的
role,作用，职责，角色，任务
express,表示，表达，明确的，直达，快递，速递
peel,削…的皮，剥…的壳
steal,偷盗，行窃，悄悄地移动
regret,懊悔，遗憾，抱歉
tidy,(使)整洁的，(使)整齐的
shiny,光亮的，有光泽的，反光的
wake,醒来，唤醒，激起，振奋，警觉，守夜，痕迹
envelope,信封
battery,电池，蓄电池，一系列，一套，排炮
sight,视力，视觉，看见，瞥见，眼界，风景
adult,成年人，成年动物，成熟的，成人的
rural,乡村的，农村的
quite,相当，颇，实际上，真正的，完全，十分
realize,认识到，了解，实现
blank,空白的，空着的，茫然的，无表情的，空白
side,面，侧面，旁边，方面，一方，一边，山坡，岸
bit,一点儿，少许，一片，一块
recipe,烹饪法，食谱，方法，秘诀，诀窍
handsome,漂亮的，英俊的，好看的，慷慨的，可观的
quarter,四分之一，季，季度，住处，住所，供…宿舍，将…四等分
round,圆形的，球形的，在周围，在附近，朝反方向，围绕，绕过
flight,航班，班机，飞行，飞翔
ability,能力，本领，才能，才智
tense,紧张的，拉紧的，绷紧的
modern,现代的，新式的
kite,风筝
scientific,科学的，科学上的
experiment,实验，进行实验
encourage,激励，鼓励，促进
spring,春天 （动词：突然行动，涌现）
plenty,丰富，充足，大量
concert,音乐会，演奏会
